country,lat,lon
Albania,41.1,20.2
Austria,47.6,14.6
Belarus,53.7,27.9
Belgium,50.6,4.8
Bosnia And Herzegovina,43.9,17.7
Bulgaria,42.6,25.5
Croatia,45.5,16.5
Cyprus,35.1,33.4
Czech Republic,49.6,15.4
Denmark,56.2,9.25
Estonia,58.8,25.5
Finland,62.5,25.7
France,46.9,2.6
Germany,51.1,10.4
Greece,39.5,21.8
Hungary,47.1,19.5
Ireland,52.8,-7.3
Italy,42.4,13
Latvia,57,25
Lithuania,55.3,23.8
Luxembourg,49.8,6.1
Malta,35.9,14.4
Moldova,47.4,28.3
Montenegro,42.7,19.4
Netherlands,52.2,6.1
North Macedonia,41.6,21.7
Norway,60.4,8.5
Poland,51.9,19.2
Portugal,39.4,-8.25
Romania,45.9,24.9
Serbia,44,21
Slovakia,48.7,19.6
Slovenia,46,14.6
Spain,39.7,-3.7
Sweden,60.1,15
Switzerland,46.8,8.2
Ukraine,49.5,28.5
United Kingdom,52.9,-1.7
